,Close*OAS,Close*Price,Daily*OAS,Daily*Price,WTD*OAS,WTD*Price,MTD*OAS,MTD*Price,YTD*OAS,YTD*Price,OAD,YTD*XSRet,Mkt*Cap,6m*Min,6m*Max,6m*%tile,color
Oil Field Services,227.107926255494,114.1085304291979,-2.374785410143176,-0.7348124842361585,0.9547527277096606,-2.196903212788925,6.043363833716113,-0.9412279764119518,-6.050160512781957,13.628059458210814,13.788073854987815,292.6327561571718,0.0046630337238878885,177.47786137611243,244.34429457340585,72.44094488188976,
Refining,213.59609560451042,122.90251072995208,-0.9061050372125976,-0.953694596622796,0.2802846042048941,-2.1433046353421052,6.227689251255356,-0.9829403588346964,-37.53716087962508,18.667831914016745,13.078831253435636,727.8456684868594,0.005182083930572361,174.71120636198478,221.46962437677143,77.95275590551181,
Midstream,248.2857544992904,116.54417378990465,-1.443281850070207,-0.8391510304722801,3.1440293498747565,-2.5193453892124893,12.876046025287225,-1.9990215819251065,-18.14906048244416,14.992594510213893,13.420772002055314,463.8301339741013,0.042037758274888135,203.00438829953129,250.04568406923528,98.42519685039369,
Industrial Other,130.30631476075902,120.29331783823145,-1.7242979124085591,-0.9741044721581461,-0.3762727616124266,-2.3784462825056782,4.249173762135087,-0.9096451172633522,-12.43645804756855,16.08213586596146,15.118612372440749,303.2494814151865,0.0017640558901990731,119.48031691436728,140.78293015001626,62.99212598425196,
Universities,97.76049921235425,125.34764675179292,-1.434652156643338,-1.4954845972244468,-0.2743074120661362,-3.5910331084282774,0.7812047361130396,-1.1290453397676004,-11.955285434528065,21.577657283101463,20.04647756590154,347.8300611946184,0.00698853389809951,91.85568651607944,100.7261930869579,78.74015748031495,
Technology,131.80446128794387,120.0679729142272,-1.8860194092005145,-0.937048294645777,-1.9939231244613609,-2.119588228148814,2.3895508786379485,-0.6281809537387062,-25.648719042828674,18.491171269007424,15.424182510829475,548.2077958921483,0.06939048483201911,118.2717507508559,147.52619173894402,49.60629921259843,
Transportation,151.94347062464053,116.29585967521223,-1.978308620183185,-0.9291881746787852,-0.8497586269100168,-2.339628026708084,4.100813025453078,-0.9912341642492636,-12.171470452033615,16.026326757209233,15.546841299282613,297.89701041419653,0.03151026565101317,129.49440617538366,155.48554284827148,91.33858267716536,
"Gov Owned, No Guar",408.1087071699806,106.95061506007605,-5.544124441485452,-0.24651758288229075,-5.875091993092668,-0.9938807795465436,21.760156032388124,-0.8900351767298389,12.288016995277983,12.87407393382881,11.989135833072824,745.1824398311578,0.01983084965901196,335.22728080145316,416.14638453458997,95.27559055118108,
Gov Guarantee,29.924547405870705,77.3080229168002,-2.6153680062487936,-0.4586722005431341,-3.9583978829506488,-1.089498122256458,-2.6559418913071866,0.2547758728156282,-21.569918350322546,13.819447963380554,15.055592518131066,492.9007345496772,0.0015962122529554134,27.75900120478405,37.47213972102397,7.086614173228346,blue
Munis,129.7175909954382,138.60989775986445,-0.3395257868492365,-1.0939750402655193,1.1114694573734312,-2.478150025533864,2.8965634304438908,-0.4370255211876781,-12.563606757979045,15.806449262901893,12.246259615187142,299.49362699198457,0.05673915688352017,117.51778700284622,130.08276181921707,98.42519685039369,
Sovereigns,157.23904876531319,128.4258416662349,-3.951888736860667,-0.5524716581559801,-6.370715409197628,-1.289517265107321,-4.2180198845910875,0.6911892327644154,-42.87260787415292,19.344396959756708,13.993056590865507,829.8007392636508,0.049171458994091526,144.94741438444632,183.2107882513997,36.22047244094488,
Supranational,25.29331459775641,123.02553791984604,-0.1771759186120221,-1.1354857119985553,0.25719355210416595,-2.3910950286562525,3.4443442230923864,-0.3576578517090354,-4.814707899151838,15.233886970208461,13.164240932012241,124.77358843727026,0.0021228353521981504,19.804929030135145,28.394695740589857,55.905511811023615,
Banks,160.03650539848243,124.02850826535658,-1.804436945331986,-0.8402817188224958,-0.8356383607083444,-2.0535675156685613,4.423609006103503,-0.7354803368617269,-43.46000244242825,18.739484243054875,13.03047264900243,771.1706787453141,0.0847580454595255,139.7509535439873,170.4416080595407,80.31496062992126,
US SIFI Banks (Sr),141.51126226367734,121.82026059561629,-1.4107494781385697,-0.9166797275781562,-0.2604122437117269,-2.2028965530522986,4.357244261587852,-0.7810898809136972,-42.70700216050358,18.2870805723245,13.427681463346481,735.4071277931906,0.029285152836837563,120.84048668647634,153.27732883555552,74.8031496062992,
US SIFI Banks (Sub),184.4846514821552,129.46110317207086,-2.083829081221125,-0.8263817189859992,-1.1873842632742253,-2.05842536790135,3.4099616042477408,-0.5857568928582282,-46.84626993245621,20.504878780418352,13.238584944039008,866.9447740555313,0.019932348805326888,160.34124253811217,193.8390534891829,80.31496062992126,
US Regional Banks,168.09399382193357,126.31382167265951,-0.9190952058958146,-1.0374954464135016,-0.7690406720836336,-2.160587374956122,2.584491510937255,-0.4543523741434541,-33.42542290763257,18.46092145669799,13.7388591279158,666.519994173933,0.014139240726967643,147.34237512054628,176.43224332295063,82.6771653543307,
Brokers/AssetMngr,191.6888560525243,116.90639219988724,-1.6112643552949066,-0.8971010644895898,-0.3372288290080689,-2.184644328015594,6.088829160747168,-0.9643808024384412,-25.313768129542726,16.27599705998324,14.648015630817095,536.8454410222535,0.0035674210929719616,172.00763111009698,202.99980571651955,81.1023622047244,
Fin. Companies,233.38805714780358,105.59009700414468,-0.21524213067939968,-0.8042731965236243,1.4954792887089638,-1.8059622982663652,12.214979214488466,-1.300463994537651,-81.2152839416897,20.466666495085448,11.508946403115985,1343.2785519233216,0.005232774966725358,216.40639173642768,268.6745611697604,27.559055118110237,
Life,181.28951520035,120.80231129675998,-1.6070452324775886,-0.8652836003559514,-2.146187981966591,-1.8773932852479331,3.4825560185861093,-0.6331710564241462,-36.17959108342021,18.27077022864873,13.923514693896253,698.8934827132119,0.017525822883696838,160.19541109672278,188.3218188523254,79.52755905511812,
P&C,142.05221789195664,123.3377254081457,-1.0058244879612062,-1.084876452050466,-0.6556700089528249,-2.3123697635501514,3.2221466738332367,-0.7440650996219489,-20.88501961205705,17.672807624781,15.043976095908432,427.62914844291186,0.019661728379027868,126.29873322504879,150.4859990421173,81.1023622047244,
REITs,147.15577621354132,111.44445413329602,-1.0371810240491186,-0.90480800505037,-1.626885994111916,-1.90138942308198,1.266487963805048,-0.3429912223459155,-25.6216480962348,17.565581110757435,13.36306516975673,541.6643665343912,0.010662160574581794,135.27382763980034,154.2715510939305,69.29133858267717,
