Issuer Name,Ticker,Default Date,ISIN
Qinghai Provincial Investment Group Co Ltd,QHINVG,3/22/2020,XS1793297513
Chesapeake Energy Corp,CHK,6/28/2020,US165167DA21
LSC Communications Inc,LKSD,4/13/2020,US50218PAA57
Lehman Brothers Inc,LEH,9/15/2008,US524909AW86
FirstEnergy Solutions Corp,FE,3/31/2018,US33766JAD54
Lehman Brothers Holdings Inc,LEH,9/15/2008,XS0213899510
Cirio Holding Luxembourg SA,CROIM,11/19/2002,XS0124290296
Espirito Santo Financial Group SA,ESF,10/9/2014,XS0997539274
Banco Espirito Santo SA,BESPL,7/22/2016,PTBEQBOM0010
Lehman Brothers Holdings Inc,LEH,9/15/2008,US52517PN985
Luckin Coffee Inc,LKNCY,8/14/2020,US54951LAA70
Gulfport Energy Operating Corp,GPOR,11/13/2020,US402635AP10
Lehman Brothers Holdings Inc,LEH,9/15/2008,US52517P2K60
Chesapeake Energy Corp,CHK,6/28/2020,US165167CF27
NAC Aviation 29 DAC,NACAVI,12/19/2021,#N/A Field Not Applicable
Phones4u Finance PLC,PHONLN,11/1/2014,XS0609574016
Frontier Communications Corp,FTR,4/14/2020,US35906ABC18
SESI LLC,SPN,12/7/2020,US78412FAU84
JC Penney Corp Inc,JCP,5/15/2020,US708130AD14
Sabine Oil & Gas Corp,SOGC,7/15/2015,US346091BG57
China City Construction International Co Ltd,CHICIT,6/20/2016,HK0000203254
Carlson Travel Inc,CARLTV,7/15/2021,US14282LAG86
Miclyn Express Offshore Pte Ltd,MIOAU,11/25/2017,XS1311942426
Lehman Brothers Holdings Inc,LEH,9/15/2008,XS0252835110
Praktiker AG,PRAGR,7/11/2013,DE000A1H3JZ8
Carillion Finance Jersey Ltd,CLLNLN,1/15/2018,XS1140296614
Norske Skogindustrier ASA,NSINO,1/30/2017,XS1394812918
Bruce Mansfield Unit 1 2007 Pass Through Trust,FE,3/31/2018,US116663AC99
Mashantucket Western Pequot Tribe,MASHTU,10/30/2014,US574754AL15
Samson Investment Co,SAIVST,9/15/2015,US796038AC13
EYEMAXX Real Estate AG,BNTGR,12/20/2021,DE000A2YPEZ1
Lehman Brothers Holdings Inc,LEH,9/15/2008,XS0183944643
Alno AG,ALNOGY,7/13/2017,DE000A1R1BR4
Lebanon Government International Bond,LEBAN,3/18/2020,XS0793155911
Paratus Energy Services Ltd,SDRLNO,2/14/2021,US81173JAA79
Mood Media Borrower LLC / Mood Media Co-Issuer Inc,MDMEBR,7/30/2020,US614875AC63
Lebanon Government International Bond,LEBAN,3/18/2020,XS0471737444
China Medical Technologies Inc,CMED,1/14/2012,US169483AE45
Air Berlin PLC,AIRBR,8/15/2017,XS1051723895
Chesapeake Energy Corp,CHK,6/28/2020,US165167CN50
