,B_0,B_1,B_2,B_3,Tau_1,Tau_2,KRD_0.5,KRD_2,KRD_5,KRD_10,KRD_20,KRD_30,c_0.5,c_2,c_5,c_10,c_20,c_30,tret_0.5,tret_2,tret_5,tret_10,tret_20,tret_30,tret_cash
2018-04-20,0.034448715,-0.016523624,0.014750518999999997,-0.014442367,2.5,5.41468746,0.5,1.96373718,4.698275242,8.724675598,15.04529813,19.48759115,1.011976814,1.230883914,1.403177982,1.473678634,1.533431693,1.572293601,4.26e-05,-0.000254407,-0.0014058229999999998,-0.003136508,-0.005394578000000001,-0.007051300000000002,4.92e-05
2018-04-23,0.034169955,-0.016341708,0.01550735,-0.013542663,2.489003897,5.463506216,0.5,1.96344949,4.695296473,8.716287677999999,15.04036671,19.50249592,1.0123793840000002,1.24073405,1.41755065,1.484612015,1.536884244,1.571991779,0.000178407,-0.00014573600000000002,-0.00108347,-0.001637405,-0.0007711969999999999,0.000383619,0.000147672
2018-04-24,0.03443091,-0.016470783,0.014339376,-0.012970035,2.497307704,5.319450553,0.5,1.963570181,4.695807649,8.71104959,15.0020286,19.42597405,1.014566544,1.23662539,1.414996977,1.490527827,1.549688739,1.5857880430000002,3.91e-05,0.000238283,0.000322497,-0.000937159,-0.003738028,-0.005280703,4.89e-05
2018-04-25,0.03454657,-0.016542122,0.013744191,-0.011530994,2.490821775,5.123201984,0.5,1.963421762,4.693290337,8.695158853999999,14.94374863,19.33306755,1.017122683,1.24173019,1.42703005,1.5100622280000002,1.5711265630000002,1.605066614,3.5600000000000005e-05,-0.000119212,-0.001033034,-0.003284027,-0.0062935840000000005,-0.007375243,4.92e-05
2018-04-26,0.034461403,-0.01624765,0.013504676,-0.012382101,2.5,5.398191197999999,0.5,1.963446728,4.69534326,8.708419015,14.99329423,19.41290792,1.024178983,1.24096802,1.417370824,1.493879475,1.553022083,1.5886507069999998,-8.71e-06,0.000108256,0.000983634,0.002880963,0.005495267,0.006473974,4.94e-05
2018-04-27,0.033809854,-0.015663728999999998,0.013385606,-0.011875427,2.455233886,5.5,0.5,1.963567998,4.69743774,8.722572661000001,15.05933409,19.54847697,1.021241328,1.2367874,1.4073607730000002,1.4765521659999998,1.5295234569999998,1.563002686,9.01e-05,0.000240692,0.001015598,0.003081072,0.007129772,0.010121434,4.99e-05
2018-04-30,0.033574202000000004,-0.01521445,0.01425877,-0.012969866000000002,2.459627374,5.428921327,0.5,1.963426473,4.6983640630000005,8.732878245,15.10154217,19.6228461,1.030864294,1.241758215,1.403219718,1.4643256690000002,1.514606645,1.5485708219999998,8.89e-05,4.13e-05,0.0006348430000000001,0.002365226,0.004740359,0.005928601,0.000149484
2018-05-01,0.034065494,-0.015645801,0.01440123,-0.013160091,2.445374872,5.492921274,0.5,1.963058734,4.694829565,8.718303197000001,15.05014512,19.52279808,1.037238536,1.254425659,1.420331064,1.482753679,1.53385948,1.5685433830000002,-1.15e-06,-0.00041285800000000016,-0.0015069729999999998,-0.003100469,-0.005677035,-0.007714237,5.03e-05
2018-05-02,0.034189651,-0.015527046,0.013745061,-0.013449883,2.4990159430000003,5.5,0.5,1.963219766,4.696725307,8.722704065,15.05265582,19.51687377,1.042721814,1.248977424,1.411227229,1.476930427,1.5320093380000002,1.568365767,7.66e-06,0.000290038,0.000930711,0.001090847,0.000641657,0.000157892,5.05e-05
2018-05-03,0.033989025,-0.015230293999999997,0.012774864,-0.012888279,2.495388875,5.483567185,0.5,1.96343139,4.698963477,8.729770413999999,15.07139287,19.5527649,1.043182751,1.241737534,1.400435234,1.4678333419999998,1.524533021,1.5607449269999998,5.720000000000002e-05,0.000358935,0.00108766,0.001658173,0.002330401,0.0030728540000000003,5.12e-05
2018-05-04,0.033717567000000004,-0.01475351,0.010542669,-0.011227607,2.32228051,5.473788112,0.5,1.963276198,4.699195259,8.731773816,15.0779159,19.57530421,1.052807,1.247177842,1.39956931,1.465559943,1.522268369,1.556863713,-3.3e-05,-0.000133642,0.000163449,0.0004770280000000001,0.0007664789999999999,0.001608823,5.14e-05
2018-05-07,0.033823866,-0.014703885,0.011904705,-0.012066178,2.48180609,5.5,0.5,1.963231234,4.698572735,8.729046291,15.07314374,19.56526579,1.057544896,1.248769973,1.402573796,1.468991837,1.524293654,1.559060741,0.00014000299999999998,0.00017126,-3.01e-05,-0.000343275,-0.000347449,-0.000597293,0.000156179
2018-05-08,0.033793184,-0.014868928,0.013083407,-0.012222536,2.47488292,5.5,0.5,1.963039591,4.696294455,8.722974396,15.065563,19.55958052,1.053681718,1.25528536,1.413520919,1.476911165,1.528068251,1.561498922,0.000100645,-0.00017451400000000002,-0.000934435,-0.001285546,-0.00104446,-0.000866165,5.24e-05
2018-05-09,0.033667435,-0.014483072,0.011810847,-0.009835849,2.453292556,5.450840358,0.5,1.96273615,4.693276177,8.706966579,15.01776932,19.4983853,1.065249639,1.265817412,1.428149481,1.4968731730000002,1.5463041240000002,1.5755841069999998,-5.15e-05,-0.000329771,-0.001274731,-0.003360621,-0.005358974,-0.005398959,5.19e-05
2018-05-10,0.033665599,-0.014776871,0.015093495,-0.013092846000000002,2.483730093,5.430809367,0.5,1.96266487,4.693660857,8.719579277000001,15.07316481,19.58170086,1.057759864,1.26817519,1.42640965,1.481960186,1.526827468,1.558896187,0.000137021,-1.2e-05,0.00024576,0.0026593940000000003,0.005920975,0.006617749,5.260000000000001e-05
2018-05-11,0.033326711,-0.014183374,0.014377816000000003,-0.011751736,2.499257498,5.393983327999999,0.5,1.962592293,4.69352551,8.718082618,15.07563104,19.60515452,1.066644835,1.270771261,1.4271710359999998,1.483846067,1.5263306069999998,1.5555096780000002,-2.47e-05,-2.14e-05,1.34e-05,-0.000242246,0.000235027,0.0014126929999999998,5.18e-05
2018-05-14,0.032781705,-2.023916164,1.960157309,-0.00687775,0.157398854,2.6332869430000003,0.5,1.960877335,4.689201693,8.693235032999999,14.957771,19.45037604,-3.382295824,1.297070395,1.43378268,1.506395926,1.563538636,1.584146025,0.047849786,-0.0007622610000000001,-0.00033999,-0.003611549,-0.010804155,-0.010834258,0.000157667
2018-05-15,0.033345455,-0.013744289,0.011267393999999998,-0.005624324,2.495827701,5.5,0.5,1.961883246,4.684554568,8.668934232,14.92467794,19.39164402,1.08779099,1.295314734,1.4704227419999998,1.545013299,1.58371231,1.6028772880000002,-0.044158394,0.000149384,-0.0033109790000000004,-0.006548991,-0.005889765999999999,-0.007141597,-0.005346649
2018-05-16,0.033236829,-0.013718596,0.011323433,-0.00494407,2.47698202,5.459528931,0.5,1.961808354,4.683354808,8.664061151,14.91485409,19.38469699,1.085917011,1.2978563090000002,1.476170699,1.551181251,1.5878435830000002,1.605267959,8.28e-05,-1.7e-05,-0.000444681,-0.000971632,-0.001134633,-0.0008330439999999999,5.37e-05
2018-05-17,0.033725446,-0.014305762,0.010439995,-0.004890569,2.485015039,5.5,0.5,1.961997574,4.683567724,8.65790711,14.87372346,19.29440509,1.079648954,1.291284322,1.474889947,1.558203409,1.601792342,1.621591017,0.000125934,0.00033638900000000003,0.000207671,-0.001117132,-0.004032923,-0.006183669,5.350000000000001e-05
2018-05-18,0.033278125,-0.013528353,0.008532402,-0.0040817990000000005,2.457710333,5.40447574,0.5,1.962313295,4.688110968,8.674754712999999,14.922531,19.38535348,1.086777069,1.280559294,1.453090706,1.536734021,1.582625542,1.602324443,-6.67e-06,0.000496175,0.00211142,0.003782019,0.005773739,0.007530629,5.320000000000001e-05
2018-05-21,0.033346192000000004,-0.013065742,0.008407354,-0.004653888,2.49954149,5.487070857000001,0.5,1.962009624,4.687831406,8.676701799,14.92926727,19.39192725,1.108168189,1.291244149,1.454882475,1.534832067,1.580466214,1.60099676,-1.75e-05,-0.000174721,9.49e-05,0.00058982,0.000906123,0.000779611,0.00016261700000000002
2018-05-22,0.033497366,-0.013369643999999998,0.008712248,-0.005166169,2.472722377,5.5,0.5,1.962025791,4.687602772,8.676250124,14.92514506,19.37728636,1.103156308,1.290626765,1.4559205240000002,1.535401969,1.581879896,1.603496218,0.000114173,0.000104068,-9.21e-06,-1.05e-05,-0.00033076,-0.0008763880000000001,5.56e-05
2018-05-23,0.033435507,-0.013496711000000002,0.007634338,-0.00612309,2.47268919,5.429077906,0.5,1.962833849,4.694696725,8.700651782000001,14.98151146,19.45423475,1.087163663,1.262734737,1.42140976,1.503881087,1.558492615,1.5844316530000002,0.00022164,0.001160863,0.003293795,0.005526975,0.007061198,0.007496701,5.520000000000003e-05
2018-05-24,0.032771601000000004,-0.013231644,0.008933706,-0.005761921,2.491653075,5.246604399,0.5,1.963083753,4.695945352,8.708806725,15.02859235,19.56214857,1.071212938,1.25397575,1.41516322,1.493692164,1.541894727,1.564606626,0.000220583,0.000418013,0.000665763,0.00184541,0.005047257,0.007823221,5.47e-05
2018-05-25,0.032609273,-0.01313528,0.007355175,-0.005811881,2.435225542,5.5,0.5,1.963607335,4.700989259,8.727460843,15.079164000000002,19.64185314,1.062873154,1.235945191,1.3907537630000002,1.469905249,1.521941004,1.546881823,0.000144588,0.0007768569999999999,0.002356216,0.00420298,0.006073345999999999,0.007038378000000001,5.36e-05
2018-05-28,0.032602767000000005,-0.012856407,0.007466301,-0.005919453000000001,2.475985552,5.456163412,0.5,1.963427425,4.7004519160000005,8.726534428999999,15.07792553,19.64072909,1.074015799,1.242243796,1.393543635,1.471316958,1.52268656,1.547413305,7.730000000000001e-05,-1.51e-05,-9.87e-06,8.33e-06,3.3600000000000004e-05,5.04e-05,0.000160321
2018-05-29,0.031533569,-0.011484818,-0.006090505,-0.004675065999999999,1.345752096,5.453817551,0.5,1.965820581,4.720304156,8.790681365,15.24829605,19.93306925,1.048083912,1.159998712,1.297413885,1.388931744,1.455177631,1.4841046,0.00031598,0.003269744,0.00907081,0.014468536,0.020619896,0.025356824,5.41e-05
2018-05-30,0.032173503,-0.01290159,0.007384614,-0.007564554,2.498268321,5.5,0.5,1.964516424,4.709946283,8.764779347000001,15.19209561,19.82570848,1.045663104,1.204624475,1.347507583,1.422940396,1.478890691,1.5078809709999998,8.47e-05,-0.001660673,-0.004593513,-0.005832771,-0.007090499,-0.009343424,5.4899999999999986e-05
2018-05-31,0.031897983,-0.01257182,0.00758291,-0.008031628,2.444310626,5.496144432,0.5,1.96449157,4.711159059,8.774861284,15.23382948,19.90314663,1.048569289,1.205516558,1.341856422,1.410844507,1.464174113,1.493156581,3.2200000000000003e-05,3.92e-05,0.00060697,0.002186024,0.004545941,0.005943446,5.28e-05
2018-06-01,0.032460272000000005,-0.013223458,0.010173675,-0.008831459,2.499475183,5.470074912,0.5,1.963722034,4.703237157,8.746400651,15.15326329,19.76007002,1.054883337,1.231929953,1.380024322,1.446946179,1.495324207,1.523110751,-6.86e-07,-0.000949962,-0.003473511,-0.006178674,-0.009304034,-0.011738228,5.3e-05
