TradeDate,1D,5D,2W,3W,1M,2M,3M,6M,1Y,2Y,3Y,4Y,5Y,6Y,7Y,8Y,9Y,10Y,11Y,12Y,13Y,14Y,15Y,16Y,17Y,18Y,19Y,20Y,21Y,22Y,23Y,24Y,25Y,26Y,27Y,28Y,29Y,30Y,31Y,32Y,33Y,34Y,35Y,36Y,37Y,38Y,39Y,40Y
19-Feb-19,0.02478871,0.02470119,0.02466169,0.02486167,0.02512306,0.02563319,0.02591615,0.02619347,0.02637608,0.02586415,0.02536662,0.02515334,0.02518323,0.02536935,0.02560415,0.02589651,0.02620122,0.02651656,0.02679895,0.02708121,0.02725724,0.02743265,0.02760806,0.02768326,0.0277579,0.02783253,0.02790717,0.02798181,0.02798849,0.02799462,0.02800074,0.02800687,0.028013,0.0280006,0.02798806,0.02797552,0.02796298,0.02795043,0.02790661,0.02786252,0.02781843,0.02777434,0.02773024,0.02768615,0.02764206,0.02759797,0.02755387,0.02750978
20-Feb-19,0.02483943,0.02472894,0.02470149,0.02487791,0.0251091,0.0255883,0.02586501,0.02611762,0.02627029,0.02579412,0.02530894,0.02513768,0.02519677,0.025394,0.02563768,0.02593643,0.0262474,0.02656776,0.02685542,0.02714296,0.02732993,0.0275158,0.02770166,0.02778048,0.02785869,0.0279369,0.02801511,0.02809331,0.02810228,0.02811085,0.02811943,0.02812801,0.02813658,0.02812815,0.02811964,0.02811112,0.0281026,0.02809409,0.02805024,0.0280062,0.02796216,0.02791813,0.02787409,0.02783005,0.02778601,0.02774198,0.02769794,0.0276539
21-Feb-19,0.02433255,0.0247188,0.02462332,0.02482239,0.02508781,0.02559848,0.02587616,0.02614407,0.02635901,0.02594543,0.02550306,0.02535263,0.02542341,0.02563075,0.02588831,0.02618493,0.02651134,0.02683035,0.02713041,0.02743034,0.02762202,0.02781249,0.02800297,0.02808519,0.02816563,0.02824607,0.02832651,0.02840696,0.02841854,0.02842935,0.02844015,0.02845096,0.02846177,0.02845439,0.02844681,0.02843923,0.02843165,0.02842407,0.02837919,0.02833389,0.0282886,0.0282433,0.028198,0.02815271,0.02810741,0.02806212,0.02801682,0.02797152
22-Feb-19,0.02433089,0.02446717,0.02452793,0.024723,0.0249831,0.02552191,0.02584136,0.02612136,0.02625214,0.02568605,0.02518817,0.02502106,0.02508178,0.02530949,0.02557224,0.0258902,0.02621435,0.02654689,0.02685163,0.02715615,0.02734373,0.02753,0.02771628,0.02779916,0.0278806,0.02796204,0.02804347,0.02812491,0.02813681,0.02814758,0.02815834,0.0281691,0.02817987,0.02817111,0.02816212,0.02815314,0.02814415,0.02813517,0.02809031,0.02804504,0.02799977,0.0279545,0.02790923,0.02786396,0.02781869,0.02777342,0.02772815,0.02768289
25-Feb-19,0.02433255,0.02454845,0.02459974,0.02478226,0.02502143,0.02554297,0.02588023,0.02616338,0.02630783,0.02573023,0.02522674,0.02506499,0.0251363,0.02537461,0.02565323,0.02598842,0.02632314,0.02665983,0.02696427,0.02726858,0.02746138,0.02765355,0.02784572,0.02793108,0.02801585,0.02810063,0.02818541,0.02827018,0.0282817,0.02829261,0.02830352,0.02831443,0.02832533,0.02831557,0.02830565,0.02829572,0.0282858,0.02827587,0.02823164,0.02818731,0.02814299,0.02809867,0.02805434,0.02801002,0.02796569,0.02792137,0.02787704,0.02783272
26-Feb-19,0.02453523,0.02463154,0.02465975,0.02484826,0.0250996,0.02557827,0.02586602,0.02608058,0.02615297,0.02544159,0.02490085,0.02474329,0.02484821,0.0250614,0.0253402,0.025664,0.02601789,0.02635556,0.02665375,0.02695177,0.02714225,0.02733216,0.02752206,0.0276074,0.02769214,0.02777688,0.02786162,0.02794636,0.0279564,0.02796602,0.02797565,0.02798528,0.0279949,0.02798673,0.02797846,0.02797018,0.02796191,0.02795363,0.02791036,0.02786708,0.02782379,0.02778051,0.02773723,0.02769395,0.02765067,0.02760739,0.02756411,0.02752083
27-Feb-19,0.02443394,0.024578,0.02461988,0.02478117,0.02499622,0.0255199,0.02585162,0.0260992,0.02629091,0.02561794,0.02514733,0.02502468,0.02514904,0.0254023,0.02572322,0.026079,0.02645536,0.02681584,0.02712966,0.02744327,0.02764608,0.02784768,0.02804928,0.02813632,0.02822273,0.02830913,0.02839554,0.02848194,0.0284939,0.02850547,0.02851703,0.0285286,0.02854016,0.02853419,0.02852813,0.02852206,0.028516,0.02850994,0.02846619,0.02842223,0.02837828,0.02833432,0.02829036,0.02824641,0.02820245,0.0281585,0.02811454,0.02807058
28-Feb-19,0.02483943,0.02479782,0.02462333,0.02476217,0.02494729,0.02546059,0.0258238,0.02612556,0.02638169,0.02586696,0.02546149,0.02535501,0.02549718,0.02578737,0.02611149,0.02647589,0.02686006,0.027222,0.02753153,0.02784048,0.02803844,0.02823515,0.02843185,0.02851899,0.02860431,0.02868962,0.02877494,0.02886026,0.02887119,0.02888132,0.02889144,0.02890156,0.02891169,0.02890282,0.02889375,0.02888467,0.0288756,0.02886653,0.02882037,0.02877381,0.02872724,0.02868067,0.0286341,0.02858754,0.02854097,0.0284944,0.02844784,0.02840127
1-Mar-19,0.02433089,0.02445371,0.0244858,0.02462535,0.0248114,0.02534965,0.02573667,0.02609231,0.02650437,0.02620322,0.02586636,0.0257676,0.02590842,0.02619257,0.0265215,0.0268858,0.02726029,0.02763311,0.02794806,0.02826244,0.02846058,0.02865745,0.02885433,0.0289409,0.02902596,0.02911101,0.02919607,0.02928112,0.029295,0.02930767,0.02932033,0.02933299,0.02934566,0.02933663,0.02932724,0.02931785,0.02930846,0.02929906,0.02925462,0.0292098,0.02916497,0.02912015,0.02907532,0.0290305,0.02898567,0.02894085,0.02889602,0.0288512
4-Mar-19,0.02453523,0.02458598,0.0245487,0.02468655,0.02487034,0.02547227,0.02589306,0.02621267,0.02650319,0.02604647,0.02560948,0.02545015,0.02554043,0.02580424,0.02612319,0.02647506,0.02684218,0.02720269,0.02752309,0.02784329,0.028045,0.02824602,0.02844705,0.02853643,0.02862518,0.02871393,0.02880267,0.02889142,0.0289047,0.02891733,0.02892996,0.02894259,0.02895521,0.02894891,0.02894244,0.02893597,0.02892951,0.02892304,0.02887843,0.0288334,0.02878838,0.02874335,0.02869832,0.0286533,0.02860827,0.02856324,0.02851822,0.02847319
5-Mar-19,0.02433255,0.02457466,0.02462086,0.02474887,0.02491955,0.02552832,0.02596148,0.02628686,0.02662557,0.02622794,0.02578376,0.02560288,0.02566116,0.02590359,0.02618841,0.0265218,0.02686632,0.02720454,0.02751405,0.02782339,0.02801774,0.02821141,0.02840509,0.02849261,0.02857951,0.02866641,0.02875332,0.02884022,0.02885096,0.0288613,0.02887164,0.02888197,0.02889231,0.02888345,0.02887447,0.0288655,0.02885653,0.02884756,0.02880434,0.02876083,0.02871732,0.02867381,0.0286303,0.02858679,0.02854328,0.02849977,0.02845626,0.02841275
6-Mar-19,0.02433255,0.02454077,0.02459078,0.02473988,0.02493868,0.02553121,0.02592298,0.02621915,0.02652168,0.02602175,0.02552911,0.02534124,0.02538798,0.02561735,0.02590454,0.02623749,0.02659119,0.02694031,0.02725405,0.02756761,0.02777046,0.02797207,0.02817368,0.0282658,0.02835728,0.02844877,0.02854025,0.02863174,0.02864754,0.02866292,0.02867829,0.02869366,0.02870903,0.02870269,0.02869621,0.02868974,0.02868327,0.0286768,0.02863273,0.02858847,0.0285442,0.02849993,0.02845567,0.0284114,0.02836714,0.02832287,0.02827861,0.02823434
